ARTNR,"KATNR,C,55","BEZ,C,120",LIEFERANT,"EINHEIT,N,2,0",LIEFERANT1,"EK1,N,9,3","KATNR1,C,55",LIEFERANT2,"EK2,N,9,3","KATNR2,C,55","VGL_ARTNR,C,45","EK,N,9,3","VK,N,9,3","VK_2,N,9,3","VK1,N,9,3","VK2,N,9,3","VK3,N,9,3","VK4,N,9,3","VK1M,N,9,3","VK2M,N,9,3","VK3M,N,9,3","VK4M,N,9,3","ST1,N,4,0","ST2,N,4,0","ST3,N,4,0","ST4,N,4,0","BESTAND,N,10,3","AMIN,N,7,2","AMAX,N,7,2",GRUPPE,"ANGEBOT,L","PROV,N,5,2","EAN,N,13,0","VK_DAT,D","EINGANG,D","VON,D","BIS,D","RA,N,7,2","RAM,N,7,2","ANGWIED,L","SL,L","LF,L","VE,N,6,2","PFAND,N,6,2","MIT_PR,N,7,2","BEM,M","AUS_PLATZ,N,2,0","MWST_VK,N,2,0","MWST_MN,N,2,0","INV_BESTAN,N,9,3","INV_MUST,L","BILD,M","ZIGARETTE,L","DATENBLATT,M","KAFFEE,L","H_HOUR1,N,7,2","H_HOUR2,N,7,2","H_HOUR1M,N,7,2","H_HOUR2M,N,7,2","MWST_EK,N,2,0",KATEGOR,MY_ARTNR,"NOTVISIBLE,L","HERSTELLER,C,35","HERST_NR,C,35","SERNR,M","SAISON,C,35","FARBE,C,85","GROSSE,C,30","LANGE,C,30","GEWICHT,N,10,3","WEBSHOP,L","VK_INFO,M","INV_START,N,10,3","INV_ZAHLEN,N,10,3","INV_ENDE,N,10,3","PROV_SATZ,N,5,2","RESERVIERT,N,10,2","FRENCHSATZ,N,5,2","UVP,N,10,2",INTERNNR,"BEARBGEB,N,7,2","VK_D_VON,D","VK_D_BIS,D","BRAUCH_ET,L","U_RAB,N,5,2",VON_FIL,"AQUER,L","ISNEGATIV,L","GEBRAUCHT,L","TEILBAR,L",LAGERPLATZ,"QRCODE,M","EAN1,N,13,0","EAN2,N,13,0","PV_EINHEIT,N,1,0","PV_INHALT,N,8,3",WAGDIVISOR,"AUTOBESTEL,L","REALWARE,L","MHD,L","STAFF_TEXT,M",GRUPPE2
28,1856,Ambience. 200ml,2,1,0,0,,0,0,,,2.29,5,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,,,9502791111114,10/23/2024,07/30/2011,,,0,0,FALSE,,TRUE,15,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5027,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
29,Flaschenland,"Cube 50ml Mini Flasche, leer",24,1,0,0,,0,0,,,0.96,1.9,1.6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,,,9502891111113,11/16/2024,07/30/2011,,,0,0,FALSE,,TRUE,9,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5028,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
30,1956,Leuchtturm 200ml,2,1,0,0,,0,0,,,2.24,4.8,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,,,9502991111112,07/31/2024,07/30/2011,,,0,0,FALSE,,TRUE,30,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5029,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
31,12105,Nocturne 700 ml Flasche,150,1,0,0,,0,0,,,1.92,4.8,4.03,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,5,,,9503091111118,05/13/2024,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5030,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
32,1881,B³gelverschlussflasche Kubika 100 ml,2,1,0,0,,0,0,,,1.41,3.8,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,,,9503191111117,12/04/2021,07/30/2011,,,0,0,FALSE,,TRUE,30,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5031,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
33,1248,B³gelverschlussflasche Syphon 200 ml,2,1,0,0,,0,0,,,1.99,4.5,3.78,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,5,,,9503291111116,12/04/2021,07/30/2011,,,0,0,FALSE,,TRUE,18,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5032,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
34,1804N,"Apotheker-Flasche, 1 Liter",2,1,0,0,,0,0,,,2.75,5.5,4.62,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,5,,,9503391111115,07/08/2024,07/30/2011,,,0,0,FALSE,,TRUE,18,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5033,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
35,11307,Geradhals 1000 ml Flasche,3,1,0,0,,0,0,,,0.97,2.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,5,,,9503491111114,12/16/2024,07/30/2011,,,0,0,FALSE,,TRUE,28,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5034,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
36,12249,Nocturne 200 ml Flasche,3,1,0,0,,0,0,,,1.32,3.5,2.94,0,0,0,0,0,0,0,0,0,0,0,0,39,10,0,5,,,9503591111113,03/02/2024,07/30/2011,,,0,0,FALSE,,TRUE,36,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5035,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
37,162,Nocturne 500 ml Flasche,124,1,0,0,,0,0,,,1.7,4.8,4.03,0,0,0,0,0,0,0,0,0,0,0,0,74,10,0,5,,,9503691111112,07/13/2024,07/30/2011,,,0,0,FALSE,,TRUE,30,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5036,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
